brand,name,notes,accords,price_estimate,clone_brand,clone_name,similarity_score,clone_price,notes_match
Creed,Aventus,"Pineapple, Bergamot, Birch, Musk","Fruity, Woody, Smoky",475,Armaf,Club de Nuit Intense Man,92.0,35,"Lemon, Pineapple, Birch, Musk"
Creed,Aventus,"Pineapple, Bergamot, Birch, Musk","Fruity, Woody, Smoky",475,Montblanc,Explorer,85.0,60,"Bergamot, Vetiver, Patchouli"
Creed,Aventus,"Pineapple, Bergamot, Birch, Musk","Fruity, Woody, Smoky",475,Afnan,Supremacy Silver,90.0,40,"Pineapple, Apple, Birch"
Creed,Aventus,"Pineapple, Bergamot, Birch, Musk","Fruity, Woody, Smoky",475,Lattafa,Qaed Al Fursan,82.0,25,"Pineapple, Saffron, Jasmine"
Creed,Silver Mountain Water,"Bergamot, Mandarin, Green Tea, Blackcurrant","Citrus, Green, Fresh",335,Armaf,Club de Nuit Sillage,88.5,35,"Bergamot, Blackcurrant, Tea"
Creed,Silver Mountain Water,"Bergamot, Mandarin, Green Tea, Blackcurrant","Citrus, Green, Fresh",335,Afnan,Supremacy In Heaven,85.0,40,"Mandarin, Green Tea, Musk"
Creed,Green Irish Tweed,"Lemon Verbena, Iris, Violet Leaf, Ambergris","Citrus, Powdery, Ozonic",335,Armaf,Tres Nuit,89.0,30,"Lemon Verbena, Violet, Ambergris"
Creed,Green Irish Tweed,"Lemon Verbena, Iris, Violet Leaf, Ambergris","Citrus, Powdery, Ozonic",335,Davidoff,Cool Water,75.0,25,"Mint, Lavender, Amber"
Creed,Millesime Imperial,"Fruity Notes, Sea Salt, Iris, Mandarin","Marine, Fruity, Citrus",410,Armaf,Club de Nuit Milestone,91.0,35,"Sea Notes, Red Fruits, Musk"
Creed,Virgin Island Water,"Coconut, Lime, White Rum, Sugar Cane","Coconut, Citrus, Sweet",335,Tommy Bahama,Set Sail St. Barts,80.0,25,"Lime, Agave, Guava"
Maison Francis Kurkdjian,Baccarat Rouge 540,"Saffron, Jasmine, Amberwood, Fir Resin","Amber, Woody, Warm Spicy",425,Armaf,Club de Nuit Untold,95.0,45,"Saffron, Jasmine, Amberwood"
Maison Francis Kurkdjian,Baccarat Rouge 540,"Saffron, Jasmine, Amberwood, Fir Resin","Amber, Woody, Warm Spicy",425,Lattafa,Ana Abiyedh Rouge,88.0,25,"Saffron, Bitter Almond, Amber"
Maison Francis Kurkdjian,Baccarat Rouge 540,"Saffron, Jasmine, Amberwood, Fir Resin","Amber, Woody, Warm Spicy",425,Zara,Red Temptation,85.0,30,"Saffron, Coriander, Praline"
Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait,"Bitter Almond, Saffron, Egyptian Jasmine","Amber, Almond, Animalic",465,Al Haramain,Amber Oud Ruby Edition,93.0,60,"Bitter Almond, Saffron, Cedar"
Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait,"Bitter Almond, Saffron, Egyptian Jasmine","Amber, Almond, Animalic",465,Fragrance World,Barakkat Rouge 540 Extrait,89.0,30,"Almond, Saffron, Ambergris"
Maison Francis Kurkdjian,Grand Soir,"Amber, Tonka Bean, Vanilla, Benzoin","Amber, Vanilla, Sweet",235,Fragrance World,Barakkat Ambre Eve,90.0,30,"Amber, Labdanum, Vanilla"
Maison Francis Kurkdjian,Oud Satin Mood,"Bulgarian Rose, Turkish Rose, Vanilla, Agarwood","Rose, Vanilla, Oud",300,Paris Corner,Ministry of Oud Satin,88.0,35,"Rose, Vanilla, Oud"
Tom Ford,Tobacco Vanille,"Tobacco Leaf, Vanilla, Cacao, Tonka Bean","Vanilla, Sweet, Tobacco",295,Maison Alhambra,Tobacco Touch,92.0,30,"Tobacco, Vanilla, Spicy Notes"
Tom Ford,Tobacco Vanille,"Tobacco Leaf, Vanilla, Cacao, Tonka Bean","Vanilla, Sweet, Tobacco",295,Al Haramain,Amber Oud Tobacco Edition,89.0,50,"Tobacco, Cinnamon, Vanilla"
Tom Ford,Tobacco Vanille,"Tobacco Leaf, Vanilla, Cacao, Tonka Bean","Vanilla, Sweet, Tobacco",295,Paris Corner,Charuto Tobacco Vanille,87.0,25,"Tobacco, Vanilla, Cacao"
